1/18 holdout_40002_negative: DOMAIN=4199, REF=4933
2/18 holdout_40032_spatial_hash: REF=3987, DOMAIN=3777
3/18 outer_holdout_50000_positive: DOMAIN=3774, REF=4172
4/18 structured_dev_5_positive: REF=1396, DOMAIN=2176
5/18 holdout_110019_negative: DOMAIN=4016, REF=4205
6/18 holdout_110035_positive: REF=3840, DOMAIN=3550
7/18 outer_holdout_120008_spatial_hash: DOMAIN=4003, REF=4260
8/18 outer_holdout_120008_positive: REF=4160, DOMAIN=3792
9/18 holdout_130023_smooth: DOMAIN=5116, REF=5781
10/18 holdout_130023_negative: REF=5467, DOMAIN=5006
11/18 holdout_130011_positive: DOMAIN=4046, REF=4480
12/18 outer_holdout_140018_negative: REF=4859, DOMAIN=4240
13/18 holdout_190046_smooth: DOMAIN=3803, REF=4050
14/18 holdout_190049_negative: REF=3811, DOMAIN=3811
15/18 holdout_190030_smooth: DOMAIN=3968, REF=4443
16/18 holdout_210032_positive: REF=4541, DOMAIN=4018
17/18 holdout_210044_smooth: DOMAIN=4996, REF=5680
18/18 dev_5_spatial_hash: REF=4169, DOMAIN=4075
